address,object_type,floors,contruction_date,square
"г Уфа, б-р. Ибрагимова, д.90 корп.2",Многоквартирный дом,20,,53759.1
"г Уфа, б-р. Молодежный, д.10",Многоквартирный дом,9,1972-01-01 00:00:00,4914.9
"г Уфа, б-р. Молодежный, д.2",Многоквартирный дом,9,1975-01-01 00:00:00,4507.6
"г Уфа, б-р. Молодежный, д.2 корп.А",Другое строение,1,,0.01
"г Уфа, б-р. Молодежный, д.3",Многоквартирный дом,9,1982-01-01 00:00:00,7754.95
"г Уфа, б-р. Молодежный, д.3 корп.1",Многоквартирный дом,5,1969-01-01 00:00:00,5244.6
"г Уфа, б-р. Молодежный, д.4","Жилое здание (Гостиница, Общежитие)",9,1973-01-01 00:00:00,8755.6
"г Уфа, б-р. Молодежный, д.5",Многоквартирный дом,9,1971-01-01 00:00:00,7640.4
"г Уфа, б-р. Молодежный, д.5 корп.1",Многоквартирный дом,5,1969-01-01 00:00:00,5231.6
"г Уфа, б-р. Молодежный, д.5 корп.2",Многоквартирный дом,9,1989-01-01 00:00:00,1979.8
"г Уфа, б-р. Молодежный, д.5 корп.А",Другое строение,1,,0.01
"г Уфа, б-р. Молодежный, д.6",Многоквартирный дом,9,1974-01-01 00:00:00,4538.0
"г Уфа, б-р. Молодежный, д.6 корп.1",Многоквартирный дом,15,2003-01-01 00:00:00,7311.2
"г Уфа, б-р. Молодежный, д.7",Многоквартирный дом,9,1971-01-01 00:00:00,7615.2
"г Уфа, б-р. Молодежный, д.7 корп.1",Другое строение,2,,0.01
"г Уфа, б-р. Молодежный, д.8",Многоквартирный дом,9,1973-01-01 00:00:00,7786.9
"г Уфа, б-р. Молодежный, д.8 корп.2",Другое строение,2,,0.01
"г Уфа, б-р. Плеханова, д.1",Многоквартирный дом,9,1977-01-01 00:00:00,5708.5
"г Уфа, б-р. Плеханова, д.11",Многоквартирный дом,9,1977-01-01 00:00:00,3851.2
"г Уфа, б-р. Плеханова, д.11 корп.1",Многоквартирный дом,9,1977-01-01 00:00:00,3874.8
"г Уфа, б-р. Плеханова, д.13",Многоквартирный дом,9,1977-01-01 00:00:00,3853.0
"г Уфа, б-р. Плеханова, д.3",Многоквартирный дом,9,1977-01-01 00:00:00,3795.2
"г Уфа, б-р. Плеханова, д.5",Многоквартирный дом,9,1977-01-01 00:00:00,7579.7
"г Уфа, б-р. Плеханова, д.5 корп.1",Другое строение,1,,0.12
"г Уфа, б-р. Плеханова, д.7",Многоквартирный дом,9,1978-01-01 00:00:00,5652.6
"г Уфа, б-р. Плеханова, д.7 корп.1",Другое строение,1,,0.01
"г Уфа, б-р. Плеханова, д.9",Многоквартирный дом,12,1978-01-01 00:00:00,4799.9
"г Уфа, б-р. Плеханова, д.9 корп.1",Многоквартирный дом,9,1995-01-01 00:00:00,4099.6
"г Уфа, б-р. Славы, д.1",Многоквартирный дом,9,1971-01-01 00:00:00,2953.7
"г Уфа, б-р. Славы, д.1 корп.а",Многоквартирный дом,12,1984-01-01 00:00:00,4506.1
"г Уфа, б-р. Славы, д.1 корп.в",Многоквартирный дом,12,1985-01-01 00:00:00,3089.7
"г Уфа, б-р. Славы, д.11",Многоквартирный дом,5,1962-01-01 00:00:00,3425.1
"г Уфа, б-р. Славы, д.13",Другое строение,1,,0.01
"г Уфа, б-р. Славы, д.14",Многоквартирный дом,5,1961-01-01 00:00:00,2283.5
"г Уфа, б-р. Славы, д.15",Многоквартирный дом,5,1962-01-01 00:00:00,2449.9
"г Уфа, б-р. Славы, д.16",Многоквартирный дом,5,1961-01-01 00:00:00,2344.5
"г Уфа, б-р. Славы, д.17",Многоквартирный дом,5,1962-01-01 00:00:00,3497.7
