address,object_type,floors,contruction_date,square
"г Уфа, ул. Академика Королева, д.6 корп.3",Многоквартирный дом,9,2003-01-01 00:00:00,5957.3
"г Уфа, ул. Академика Королева, д.7",Многоквартирный дом,9,1987-01-01 00:00:00,8536.7
"г Уфа, ул. Академика Королева, д.7 корп.1",Многоквартирный дом,12,1990-01-01 00:00:00,5610.7
"г Уфа, ул. Академика Королева, д.7 корп.2",Многоквартирный дом,10,2004-01-01 00:00:00,3305.1
"г Уфа, ул. Академика Королева, д.7 корп.2А",Другое строение,1,,0.01
"г Уфа, ул. Академика Королева, д.8",Многоквартирный дом,9,1993-01-01 00:00:00,5668.5
"г Уфа, ул. Академика Королева, д.9",Многоквартирный дом,10,1989-01-01 00:00:00,8383.7
"г Уфа, ул. Александра Невского, д.10",Многоквартирный дом,5,1958-01-01 00:00:00,3415.1
"г Уфа, ул. Александра Невского, д.11",Многоквартирный дом,5,1966-01-01 00:00:00,3543.79
"г Уфа, ул. Александра Невского, д.12",Многоквартирный дом,5,1963-01-01 00:00:00,2529.1
"г Уфа, ул. Александра Невского, д.14",Многоквартирный дом,5,1953-01-01 00:00:00,1611.1
"г Уфа, ул. Александра Невского, д.15","Спортзалы, крытые стадионы и другие спортивные сооружения",1,,0.02
"г Уфа, ул. Александра Невского, д.16",Многоквартирный дом,5,1963-01-01 00:00:00,1621.7
"г Уфа, ул. Александра Невского, д.17",Другое строение,2,,0.01
"г Уфа, ул. Александра Невского, д.17 корп.потери",Другое строение,0,,0.01
"г Уфа, ул. Александра Невского, д.18",Многоквартирный дом,5,1963-01-01 00:00:00,1639.8
"г Уфа, ул. Александра Невского, д.19",Многоквартирный дом,4,1957-01-01 00:00:00,2104.1
"г Уфа, ул. Александра Невского, д.20",Многоквартирный дом,5,1958-01-01 00:00:00,5640.1
"г Уфа, ул. Александра Невского, д.20 корп.1",Многоквартирный дом,5,1968-01-01 00:00:00,3549.6
"г Уфа, ул. Александра Невского, д.21",Многоквартирный дом,3,1956-01-01 00:00:00,1572.7
"г Уфа, ул. Александра Невского, д.22",Многоквартирный дом,5,1958-01-01 00:00:00,6475.8
"г Уфа, ул. Александра Невского, д.23",Многоквартирный дом,4,1959-01-01 00:00:00,4260.2
"г Уфа, ул. Александра Невского, д.25",Многоквартирный дом,3,1957-01-01 00:00:00,1560.8
"г Уфа, ул. Александра Невского, д.26",Многоквартирный дом,5,1960-01-01 00:00:00,3108.4
"г Уфа, ул. Александра Невского, д.26 корп.а",Многоквартирный дом,5,1960-01-01 00:00:00,3183.7
"г Уфа, ул. Александра Невского, д.28",Многоквартирный дом,5,1960-01-01 00:00:00,1595.3
"г Уфа, ул. Александра Невского, д.3",Многоквартирный дом,5,1966-01-01 00:00:00,3590.3
"г Уфа, ул. Александра Невского, д.30",Многоквартирный дом,5,1959-01-01 00:00:00,3144.5
"г Уфа, ул. Александра Невского, д.30 корп.а",Многоквартирный дом,5,1959-01-01 00:00:00,3517.5
"г Уфа, ул. Александра Невского, д.31",Другое строение,4,,0.01
"г Уфа, ул. Александра Невского, д.31 корп.а",Другое строение,1,,0.01
"г Уфа, ул. Александра Невского, д.32 корп.а",Многоквартирный дом,4,1959-01-01 00:00:00,2563.7
"г Уфа, ул. Александра Невского, д.33",Многоквартирный дом,4,1956-01-01 00:00:00,2701.7
"г Уфа, ул. Александра Невского, д.34",Многоквартирный дом,4,1959-01-01 00:00:00,3050.6
"г Уфа, ул. Александра Невского, д.35",Многоквартирный дом,5,1965-01-01 00:00:00,3133.5
"г Уфа, ул. Александра Невского, д.35 корп.1",Многоквартирный дом,4,1959-01-01 00:00:00,1277.4
"г Уфа, ул. Александра Невского, д.36",Многоквартирный дом,4,1958-01-01 00:00:00,2454.8
"г Уфа, ул. Александра Невского, д.37",Многоквартирный дом,4,1961-01-01 00:00:00,2720.5
"г Уфа, ул. Александра Невского, д.37 корп.1",Многоквартирный дом,4,1959-01-01 00:00:00,1267.8
"г Уфа, ул. Александра Невского, д.38",Многоквартирный дом,4,1958-01-01 00:00:00,2059.5
"г Уфа, ул. Александра Невского, д.4",Многоквартирный дом,5,1961-01-01 00:00:00,2688.4
"г Уфа, ул. Александра Невского, д.5",Многоквартирный дом,5,1966-01-01 00:00:00,3546.1
"г Уфа, ул. Александра Невского, д.5 корп.1",Многоквартирный дом,5,1966-01-01 00:00:00,3354.7
"г Уфа, ул. Александра Невского, д.6",Многоквартирный дом,5,1962-01-01 00:00:00,3578.9
"г Уфа, ул. Александра Невского, д.6 корп.1",Многоквартирный дом,5,1962-01-01 00:00:00,2562.1
"г Уфа, ул. Александра Невского, д.7",Многоквартирный дом,5,1969-01-01 00:00:00,3554.2
"г Уфа, ул. Александра Невского, д.8",Многоквартирный дом,5,1962-01-01 00:00:00,2607.3
"г Уфа, ул. Александра Невского, д.9",Многоквартирный дом,5,1966-01-01 00:00:00,3565.1
"г Уфа, ул. Антонова, д.2",Многоквартирный дом,5,1961-01-01 00:00:00,1582.1
"г Уфа, ул. Антонова, д.4",Многоквартирный дом,5,1962-01-01 00:00:00,3315.0
"г Уфа, ул. Апрельская, д.19",Многоквартирный дом,10,2015-01-01 00:00:00,14741.4
"г Уфа, ул. Апрельская, д.19*",Другое строение,0,,
"г Уфа, ул. Архитектора Рехмукова, д.7",Многоквартирный дом,25,2013-11-01 00:00:00,21582.0
"г Уфа, ул. Архитектора Рехмукова, д.7*",Другое строение,0,,
"г Уфа, ул. Архитектурная, д.1",Многоквартирный дом,4,1957-01-01 00:00:00,2556.1
"г Уфа, ул. Архитектурная, д.10",Многоквартирный дом,5,1954-01-01 00:00:00,3356.2
"г Уфа, ул. Архитектурная, д.14",Многоквартирный дом,3,1952-01-01 00:00:00,2316.5
"г Уфа, ул. Архитектурная, д.16",Другое строение,2,,0.01
"г Уфа, ул. Архитектурная, д.18",Многоквартирный дом,3,1952-01-01 00:00:00,2157.66
"г Уфа, ул. Архитектурная, д.2",Многоквартирный дом,4,1954-01-01 00:00:00,3708.2
"г Уфа, ул. Архитектурная, д.20",Многоквартирный дом,4,1953-01-01 00:00:00,2385.2
"г Уфа, ул. Архитектурная, д.24",Многоквартирный дом,5,1957-01-01 00:00:00,5930.3
"г Уфа, ул. Архитектурная, д.3",Многоквартирный дом,4,1958-01-01 00:00:00,2912.5
"г Уфа, ул. Архитектурная, д.4",Многоквартирный дом,4,1955-01-01 00:00:00,3858.3
"г Уфа, ул. Архитектурная, д.5",Многоквартирный дом,5,1965-01-01 00:00:00,3554.7
"г Уфа, ул. Архитектурная, д.5 корп.а",Многоквартирный дом,5,1968-01-01 00:00:00,3823.1
"г Уфа, ул. Архитектурная, д.6",Другое строение,2,,0.01
"г Уфа, ул. Архитектурная, д.8",Многоквартирный дом,5,1955-01-01 00:00:00,3685.7
"г Уфа, ул. Архитектурная, д.9",Многоквартирный дом,5,1958-01-01 00:00:00,4159.5
"г Уфа, ул. Ахметова, д.273",Многоквартирный дом,11,2012-01-01 00:00:00,12605.6
"г Уфа, ул. Ахметова, д.275",Другое строение,1,1972-01-01 00:00:00,0.06
"г Уфа, ул. Ахметова, д.275 корп.1",Многоквартирный дом,11,2008-01-01 00:00:00,8236.4
"г Уфа, ул. Ахметова, д.287а корп.3",Дет.ясли и сады,2,,0.01
"г Уфа, ул. Ахметова, д.297",Другое строение,1,2009-01-01 00:00:00,0.01
"г Уфа, ул. Ахметова, д.298",Многоквартирный дом,15,2008-01-01 00:00:00,7127.2
"г Уфа, ул. Ахметова, д.299",Другое строение,1,2020-01-01 00:00:00,0.02
"г Уфа, ул. Ахметова, д.300",Многоквартирный дом,9,1977-01-01 00:00:00,14618.6
"г Уфа, ул. Ахметова, д.300 корп.1",Многоквартирный дом,9,1992-01-01 00:00:00,4108.7
"г Уфа, ул. Ахметова, д.300 корп.1 потери",Другое строение,0,,0.0
"г Уфа, ул. Ахметова, д.300 корп.2",Многоквартирный дом,9,1991-01-01 00:00:00,14367.8
"г Уфа, ул. Ахметова, д.300 корп.3",Другое строение,1,1982-01-01 00:00:00,0.01
"г Уфа, ул. Ахметова, д.300 корп.3 ЦТП 401",Другое строение,1,,0.01
"г Уфа, ул. Ахметова, д.302",Многоквартирный дом,9,1988-01-01 00:00:00,4145.9
"г Уфа, ул. Ахметова, д.304",Школы и ВУЗ,1,2001-01-01 00:00:00,0.01
"г Уфа, ул. Ахметова, д.304 корп.2",Многоквартирный дом,9,,14599.0
"г Уфа, ул. Ахметова, д.316",Другое строение,1,,0.03
"г Уфа, ул. Ахметова, д.316",Многоквартирный дом,9,1988-01-01 00:00:00,14705.6
"г Уфа, ул. Ахметова, д.316 корп.1",Многоквартирный дом,9,1987-01-01 00:00:00,3804.2
"г Уфа, ул. Ахметова, д.316 корп.2",Другое строение,1,1987-01-01 00:00:00,0.02
"г Уфа, ул. Ахметова, д.316 корп.3",Другое строение,2,,0.02
"г Уфа, ул. Ахметова, д.316 корп.3",Многоквартирный дом,9,1998-01-01 00:00:00,8846.0
"г Уфа, ул. Ахметова, д.316 корп.4",Многоквартирный дом,9,2007-01-01 00:00:00,5903.9
"г Уфа, ул. Ахметова, д.316 корп.а",Другое строение,1,1986-01-01 00:00:00,0.01
"г Уфа, ул. Ахметова, д.316 корп.а потери",Другое строение,0,,0.0
"г Уфа, ул. Ахметова, д.316 корп.а потери",Другое строение,0,,0.11
"г Уфа, ул. Ахметова, д.316 корп.а потери",Другое строение,0, всего,
"г Уфа, ул. Ахметова, д.316 корп.а ЦТП-418",Другое строение,1,,0.01
"г Уфа, ул. Ахметова, д.318",Многоквартирный дом,2,1957-01-01 00:00:00,544.1
"г Уфа, ул. Ахметова, д.318 корп.1",Многоквартирный дом,10,2002-01-01 00:00:00,12293.5
"г Уфа, ул. Ахметова, д.320",Школы и ВУЗ,1,1976-01-01 00:00:00,0.01
"г Уфа, ул. Ахметова, д.320  корп.ЦТП-436",Другое строение,1,2000-01-01 00:00:00,0.01
"г Уфа, ул. Ахметова, д.320 корп.1",Многоквартирный дом,14,2014-01-01 00:00:00,17107.1
"г Уфа, ул. Ахметова, д.320 корп.потери",Другое строение,0,,0.0
"г Уфа, ул. Ахметова, д.320/пристрой",Другое строение,1,1976-01-01 00:00:00,0.01
"г Уфа, ул. Ахметова, д.322",Гаражи,1,1988-01-01 00:00:00,0.01
"г Уфа, ул. Ахметова, д.322",Многоквартирный дом,5,1977-01-01 00:00:00,3420.6
"г Уфа, ул. Ахметова, д.322 корп.1",Многоквартирный дом,5,1973-01-01 00:00:00,2781.5
"г Уфа, ул. Ахметова, д.322 корп.2",Многоквартирный дом,5,1974-01-01 00:00:00,3975.0
"г Уфа, ул. Ахметова, д.322 корп.а",Многоквартирный дом,13,1985-01-01 00:00:00,3124.92
"г Уфа, ул. Ахметова, д.324",Многоквартирный дом,5,1976-01-01 00:00:00,4134.1
"г Уфа, ул. Ахметова, д.326",Другое строение,1,1973-01-01 00:00:00,0.04
"г Уфа, ул. Ахметова, д.326 корп.2",Дет.ясли и сады,1,1972-01-01 00:00:00,0.01
"г Уфа, ул. Ахметова, д.347",Многоквартирный дом,2,1962-01-01 00:00:00,270.9
"г Уфа, ул. Ахметова, д.353",Многоквартирный дом,14,2012-01-01 00:00:00,7754.5
"г Уфа, ул. Ахметова, д.355",Многоквартирный дом,14,2012-01-01 00:00:00,7812.05
"г Уфа, ул. Бабушкина, д.1",Другое строение,4,1978-01-01 00:00:00,0.01
"г Уфа, ул. Бабушкина, д.17",Другое строение,2,1992-01-01 00:00:00,0.01
"г Уфа, ул. Бабушкина, д.17 корп.а",Многоквартирный дом,9,1979-01-01 00:00:00,4563.9
"г Уфа, ул. Бабушкина, д.19",Многоквартирный дом,9,1976-01-01 00:00:00,4636.4
"г Уфа, ул. Бабушкина, д.21",Другое строение,2,1937-01-01 00:00:00,0.01
"г Уфа, ул. Бабушкина, д.21 корп.1",Многоквартирный дом,9,1987-01-01 00:00:00,4060.2
"г Уфа, ул. Бабушкина, д.21 потери",Другое строение,0,,
"г Уфа, ул. Бабушкина, д.23",Другое строение,3,,0.01
"г Уфа, ул. Бабушкина, д.25",Другое строение,3,1965-01-01 00:00:00,0.01
"г Уфа, ул. Бабушкина, д.52",Многоквартирный дом,5,1957-01-01 00:00:00,4351.7
"г Уфа, ул. Байкальская, д.100",Частный дом,1,1989-01-01 00:00:00,39.1
"г Уфа, ул. Байкальская, д.101",Частный дом,1,1935-01-01 00:00:00,41.0
"г Уфа, ул. Байкальская, д.102",Частный дом,1,1989-01-01 00:00:00,115.9
"г Уфа, ул. Байкальская, д.103",Частный дом,1,1953-01-01 00:00:00,75.6
"г Уфа, ул. Байкальская, д.105",Частный дом,1,1987-01-01 00:00:00,51.5
"г Уфа, ул. Байкальская, д.108",Частный дом,1,1989-01-01 00:00:00,48.5
"г Уфа, ул. Байкальская, д.111",Частный дом,1,1955-01-01 00:00:00,96.2
"г Уфа, ул. Байкальская, д.122",Частный дом,1,1966-01-01 00:00:00,24.1
"г Уфа, ул. Байкальская, д.123",Частный дом,1,1989-01-01 00:00:00,31.8
"г Уфа, ул. Байкальская, д.126",Частный дом,1,1989-01-01 00:00:00,0.01
"г Уфа, ул. Байкальская, д.127",Частный дом,1,1989-01-01 00:00:00,47.3
"г Уфа, ул. Байкальская, д.128",Частный дом,1,1989-01-01 00:00:00,37.4
"г Уфа, ул. Байкальская, д.130",Частный дом,1,1989-01-01 00:00:00,30.5
"г Уфа, ул. Байкальская, д.75 корп.А",Другое строение,1,,0.01
"г Уфа, ул. Байкальская, д.95",Частный дом,1,1989-01-01 00:00:00,39.7
"г Уфа, ул. Батумская, д.1",Многоквартирный дом,2,1955-01-01 00:00:00,808.8
"г Уфа, ул. Батумская, д.3",Многоквартирный дом,2,1955-01-01 00:00:00,391.6
"г Уфа, ул. Баязита Бикбая, д.1",Другое строение,1,,0.01
"г Уфа, ул. Баязита Бикбая, д.10",Другое строение,2,,0.02
"г Уфа, ул. Баязита Бикбая, д.11","Жилое здание (Гостиница, Общежитие)",5,1983-01-01 00:00:00,3341.18
"г Уфа, ул. Баязита Бикбая, д.11Пристрой",Другое строение,3,,0.01
"г Уфа, ул. Баязита Бикбая, д.12",Многоквартирный дом,9,1983-01-01 00:00:00,3867.7
"г Уфа, ул. Баязита Бикбая, д.12 корп.1",Многоквартирный дом,9,1983-01-01 00:00:00,7555.2
"г Уфа, ул. Баязита Бикбая, д.12 корп.2",Многоквартирный дом,9,1984-01-01 00:00:00,3830.1
"г Уфа, ул. Баязита Бикбая, д.12 корп.3",Многоквартирный дом,9,1984-01-01 00:00:00,3810.7
"г Уфа, ул. Баязита Бикбая, д.12 корп.а",Другое строение,1,,0.01
"г Уфа, ул. Баязита Бикбая, д.13",Другое строение,3,,0.02
"г Уфа, ул. Баязита Бикбая, д.14",Многоквартирный дом,9,1983-01-01 00:00:00,7493.8
"г Уфа, ул. Баязита Бикбая, д.17",Многоквартирный дом,24,2011-01-01 00:00:00,28764.36
"г Уфа, ул. Баязита Бикбая, д.18",Многоквартирный дом,9,1984-01-01 00:00:00,7450.3
"г Уфа, ул. Баязита Бикбая, д.18 корп.1",Другое строение,2,1998-01-01 00:00:00,0.01
"г Уфа, ул. Баязита Бикбая, д.19",Многоквартирный дом,9,1985-01-01 00:00:00,11178.9
"г Уфа, ул. Баязита Бикбая, д.19 корп.1",Многоквартирный дом,9,1985-01-01 00:00:00,19461.3
"г Уфа, ул. Баязита Бикбая, д.19 корп.2",Другое строение,1,,0.01
"г Уфа, ул. Баязита Бикбая, д.19 корп.3",Другое строение,2,1995-01-01 00:00:00,0.01
"г Уфа, ул. Баязита Бикбая, д.2",Многоквартирный дом,9,1984-01-01 00:00:00,3797.8
"г Уфа, ул. Баязита Бикбая, д.2 корп.2",Другое строение,1,,0.01
"г Уфа, ул. Баязита Бикбая, д.20",Многоквартирный дом,9,1984-01-01 00:00:00,3792.9
"г Уфа, ул. Баязита Бикбая, д.21",Многоквартирный дом,9,1985-01-01 00:00:00,7577.3
"г Уфа, ул. Баязита Бикбая, д.22",Многоквартирный дом,9,1984-01-01 00:00:00,11282.4
"г Уфа, ул. Баязита Бикбая, д.23",Многоквартирный дом,9,1985-01-01 00:00:00,3846.8
"г Уфа, ул. Баязита Бикбая, д.23 корп.1",Многоквартирный дом,10,1993-01-01 00:00:00,2753.5
"г Уфа, ул. Баязита Бикбая, д.23 корп.2",Многоквартирный дом,10,2003-01-01 00:00:00,19303.1
"г Уфа, ул. Баязита Бикбая, д.24",Многоквартирный дом,9,1984-01-01 00:00:00,3812.6
"г Уфа, ул. Баязита Бикбая, д.24 корп.1",Многоквартирный дом,9,1984-01-01 00:00:00,1685.0
"г Уфа, ул. Баязита Бикбая, д.24 корп.2",Многоквартирный дом,9,1984-01-01 00:00:00,7491.3
"г Уфа, ул. Баязита Бикбая, д.24 корп.3",Многоквартирный дом,12,1984-01-01 00:00:00,2783.0
"г Уфа, ул. Баязита Бикбая, д.24 корп.4",Многоквартирный дом,12,1984-01-01 00:00:00,2778.4
"г Уфа, ул. Баязита Бикбая, д.25",Многоквартирный дом,9,2003-01-01 00:00:00,3831.9
"г Уфа, ул. Баязита Бикбая, д.25 корп.1",Многоквартирный дом,10,1995-01-01 00:00:00,3080.0
"г Уфа, ул. Баязита Бикбая, д.26",Другое строение,1,,626.3
"г Уфа, ул. Баязита Бикбая, д.26",Многоквартирный дом,12,1984-01-01 00:00:00,3163.8
"г Уфа, ул. Баязита Бикбая, д.26 корп.1",Другое строение,2,,0.01
"г Уфа, ул. Баязита Бикбая, д.27",Многоквартирный дом,9,1985-01-01 00:00:00,11230.2
"г Уфа, ул. Баязита Бикбая, д.27 корп.1","Жилое здание (Гостиница, Общежитие)",10,2012-01-01 00:00:00,0.01
"г Уфа, ул. Баязита Бикбая, д.28",Многоквартирный дом,9,1984-01-01 00:00:00,3826.1
"г Уфа, ул. Баязита Бикбая, д.29",Многоквартирный дом,9,1985-01-01 00:00:00,19427.7
"г Уфа, ул. Баязита Бикбая, д.30",Многоквартирный дом,9,1985-01-01 00:00:00,11254.6
"г Уфа, ул. Баязита Бикбая, д.30 корп.1",Другое строение,2,,0.01
"г Уфа, ул. Баязита Бикбая, д.31",Многоквартирный дом,9,1985-01-01 00:00:00,3852.3
"г Уфа, ул. Баязита Бикбая, д.31 корп.1",Другое строение,4,,0.01
"г Уфа, ул. Баязита Бикбая, д.32",Многоквартирный дом,12,1985-01-01 00:00:00,3866.9
"г Уфа, ул. Баязита Бикбая, д.33",Многоквартирный дом,9,1985-01-01 00:00:00,7499.7
"г Уфа, ул. Баязита Бикбая, д.35",Многоквартирный дом,9,1990-01-01 00:00:00,9531.5
"г Уфа, ул. Баязита Бикбая, д.35 корп.1",Другое строение,2,,0.01
"г Уфа, ул. Баязита Бикбая, д.35 корп.2",Многоквартирный дом,12,2008-01-01 00:00:00,4560.7
"г Уфа, ул. Баязита Бикбая, д.36",Многоквартирный дом,9,1991-01-01 00:00:00,9693.4
"г Уфа, ул. Баязита Бикбая, д.36 корп.1",Многоквартирный дом,5,2004-01-01 00:00:00,1774.3
"г Уфа, ул. Баязита Бикбая, д.37",Многоквартирный дом,12,1990-01-01 00:00:00,14274.7
"г Уфа, ул. Баязита Бикбая, д.38",Многоквартирный дом,9,1991-01-01 00:00:00,7738.1
"г Уфа, ул. Баязита Бикбая, д.38 корп.1",Многоквартирный дом,9,1991-01-01 00:00:00,7669.6
"г Уфа, ул. Баязита Бикбая, д.38 корп.2",Многоквартирный дом,12,1991-01-01 00:00:00,5633.2
"г Уфа, ул. Баязита Бикбая, д.39",Многоквартирный дом,9,1990-01-01 00:00:00,9570.0
"г Уфа, ул. Баязита Бикбая, д.4",Многоквартирный дом,9,1984-01-01 00:00:00,3785.1
"г Уфа, ул. Баязита Бикбая, д.40",Многоквартирный дом,9,1991-01-01 00:00:00,9606.0
"г Уфа, ул. Баязита Бикбая, д.41",Многоквартирный дом,9,1990-01-01 00:00:00,14170.0
"г Уфа, ул. Баязита Бикбая, д.42",Многоквартирный дом,9,1991-01-01 00:00:00,15307.6
"г Уфа, ул. Баязита Бикбая, д.42 корп.1",Другое строение,2,1985-01-01 00:00:00,0.01
"г Уфа, ул. Баязита Бикбая, д.44",Многоквартирный дом,14,2007-01-01 00:00:00,16764.3
"г Уфа, ул. Баязита Бикбая, д.44 корп.стр",Другое строение,2,,0.01
"г Уфа, ул. Баязита Бикбая, д.6",Другое строение,0,,0.01
"г Уфа, ул. Баязита Бикбая, д.6",Многоквартирный дом,9,1984-01-01 00:00:00,3794.6
"г Уфа, ул. Баязита Бикбая, д.8",Многоквартирный дом,9,1984-01-01 00:00:00,3855.5
"г Уфа, ул. Белякова, д.17",Многоквартирный дом,5,1968-01-01 00:00:00,3333.1
"г Уфа, ул. Белякова, д.25",Другое строение,2,1994-01-01 00:00:00,0.01
"г Уфа, ул. Белякова, д.25",Другое строение,4,1938-01-01 00:00:00,0.01
"г Уфа, ул. Белякова, д.27",Другое строение,2,,0.01
"г Уфа, ул. Белякова, д.32",Многоквартирный дом,5,1964-01-01 00:00:00,3476.6
"г Уфа, ул. Бессонова, д.2",Другое строение,3,1976-01-01 00:00:00,0.01
"г Уфа, ул. Бессонова, д.2 корп.а",Другое строение,4,1997-01-01 00:00:00,172.5
"г Уфа, ул. Бессонова, д.21",Многоквартирный дом,10,1981-01-01 00:00:00,23068.7
"г Уфа, ул. Бессонова, д.21 корп.1",Другое строение,2,1985-01-01 00:00:00,0.01
"г Уфа, ул. Бессонова, д.23",Многоквартирный дом,5,1980-01-01 00:00:00,2652.0
"г Уфа, ул. Бессонова, д.23 корп.1",Другое строение,1,,0.01
"г Уфа, ул. Бессонова, д.24",Многоквартирный дом,9,1978-01-01 00:00:00,7551.0
"г Уфа, ул. Бессонова, д.24 корп.1",Многоквартирный дом,10,2005-01-01 00:00:00,3000.4
"г Уфа, ул. Бессонова, д.25",Многоквартирный дом,5,1974-01-01 00:00:00,3378.7
"г Уфа, ул. Бессонова, д.26",Многоквартирный дом,10,1979-01-01 00:00:00,8138.0
"г Уфа, ул. Бессонова, д.26 корп.1",Другое строение,2,,0.01
"г Уфа, ул. Бессонова, д.26 корп.а",Другое строение,3,1980-01-01 00:00:00,0.01
"г Уфа, ул. Бессонова, д.27",Многоквартирный дом,5,1974-01-01 00:00:00,3943.0
"г Уфа, ул. Бессонова, д.28",Многоквартирный дом,12,1980-01-01 00:00:00,3698.5
"г Уфа, ул. Бессонова, д.28 корп.1",Многоквартирный дом,12,1980-01-01 00:00:00,2771.2
"г Уфа, ул. Бессонова, д.29",Многоквартирный дом,9,1989-01-01 00:00:00,1762.7
"г Уфа, ул. Бессонова, д.29 корп.1",Многоквартирный дом,13,2005-01-01 00:00:00,11702.8
"г Уфа, ул. Бессонова, д.3",Многоквартирный дом,5,1972-01-01 00:00:00,5928.4
"г Уфа, ул. Бессонова, д.31",Многоквартирный дом,9,1990-01-01 00:00:00,1724.9
"г Уфа, ул. Бессонова, д.33",Многоквартирный дом,9,1993-01-01 00:00:00,1724.5
"г Уфа, ул. Бессонова, д.35",Многоквартирный дом,9,1993-01-01 00:00:00,1873.9
"г Уфа, ул. Бессонова, д.37",Многоквартирный дом,9,1991-01-01 00:00:00,4152.1
"г Уфа, ул. Бессонова, д.5",Многоквартирный дом,5,1975-01-01 00:00:00,3080.1
"г Уфа, ул. Блюхера, д.1",Другое строение,4,,0.01
"г Уфа, ул. Блюхера, д.1 корп.1",Другое строение,4,,0.01
"г Уфа, ул. Блюхера, д.1 корп.2",Многоквартирный дом,12,2012-01-01 00:00:00,5202.0
"г Уфа, ул. Блюхера, д.1 корп.3",Многоквартирный дом,14,2017-12-01 00:00:00,10343.2
"г Уфа, ул. Блюхера, д.10",Многоквартирный дом,5,1964-01-01 00:00:00,3548.1
"г Уфа, ул. Блюхера, д.10 корп.1",Многоквартирный дом,5,1967-01-01 00:00:00,3419.1
"г Уфа, ул. Блюхера, д.10 корп.а",Другое строение,10,,0.01
"г Уфа, ул. Блюхера, д.10 корп.а",Многоквартирный дом,10,1977-01-01 00:00:00,2294.9
"г Уфа, ул. Блюхера, д.12",Многоквартирный дом,5,1964-01-01 00:00:00,3549.5
"г Уфа, ул. Блюхера, д.12 корп.1",Многоквартирный дом,5,1967-01-01 00:00:00,3420.7
"г Уфа, ул. Блюхера, д.12 корп.2",Многоквартирный дом,10,1977-01-01 00:00:00,2447.6
"г Уфа, ул. Блюхера, д.13",Многоквартирный дом,15,1994-01-01 00:00:00,6521.0
"г Уфа, ул. Блюхера, д.13 корп.2",Другое строение,1,,0.01
"г Уфа, ул. Блюхера, д.13 корп.2* потери",Другое строение,0,,
"г Уфа, ул. Блюхера, д.14",Многоквартирный дом,9,1970-01-01 00:00:00,5577.1
"г Уфа, ул. Блюхера, д.14 корп.1",Многоквартирный дом,5,1964-01-01 00:00:00,3564.8
"г Уфа, ул. Блюхера, д.15",Многоквартирный дом,5,1964-01-01 00:00:00,3636.71
"г Уфа, ул. Блюхера, д.15 корп.1",Многоквартирный дом,5,1964-01-01 00:00:00,3240.2
"г Уфа, ул. Блюхера, д.15 корп.2",Другое строение,1,,0.01
"г Уфа, ул. Блюхера, д.15 корп.2* потери",Другое строение,0,,
"г Уфа, ул. Блюхера, д.15 корп.3",Другое строение,5,,0.01
"г Уфа, ул. Блюхера, д.15 корп.4",Другое строение,1,,0.01
"г Уфа, ул. Блюхера, д.15 корп.5",Другое строение,1,,0.01
"г Уфа, ул. Блюхера, д.16",Многоквартирный дом,5,1971-01-01 00:00:00,3202.6
"г Уфа, ул. Блюхера, д.17",Многоквартирный дом,5,1964-01-01 00:00:00,3157.7
"г Уфа, ул. Блюхера, д.18",Многоквартирный дом,9,1974-01-01 00:00:00,4909.5
"г Уфа, ул. Блюхера, д.18 корп.1",Многоквартирный дом,5,1964-01-01 00:00:00,3548.0
"г Уфа, ул. Блюхера, д.19",Многоквартирный дом,5,1963-01-01 00:00:00,3105.66
"г Уфа, ул. Блюхера, д.2",Многоквартирный дом,9,1968-01-01 00:00:00,2616.8
"г Уфа, ул. Блюхера, д.2 корп.1",Многоквартирный дом,9,1967-01-01 00:00:00,2625.8
"г Уфа, ул. Блюхера, д.2 корп.3",Другое строение,1,,0.04
"г Уфа, ул. Блюхера, д.20 корп.1",Многоквартирный дом,5,1964-01-01 00:00:00,3639.1
"г Уфа, ул. Блюхера, д.21",Многоквартирный дом,5,1963-01-01 00:00:00,3421.7
"г Уфа, ул. Блюхера, д.21 корп.1",Многоквартирный дом,5,1968-01-01 00:00:00,2940.8
"г Уфа, ул. Блюхера, д.21 корп.2",Многоквартирный дом,5,1963-01-01 00:00:00,3204.4
"г Уфа, ул. Блюхера, д.22",Многоквартирный дом,5,1964-01-01 00:00:00,3646.3
"г Уфа, ул. Блюхера, д.23",Многоквартирный дом,5,1973-01-01 00:00:00,2587.4
"г Уфа, ул. Блюхера, д.23 корп.1",Многоквартирный дом,5,1963-01-01 00:00:00,3520.0
"г Уфа, ул. Блюхера, д.23 корп.2",Многоквартирный дом,9,1969-01-01 00:00:00,2828.7
"г Уфа, ул. Блюхера, д.23. корп.2.",Другое строение,1,,0.01
"г Уфа, ул. Блюхера, д.24",Многоквартирный дом,9,1977-01-01 00:00:00,5617.2
"г Уфа, ул. Блюхера, д.24 корп.1",Многоквартирный дом,5,1964-01-01 00:00:00,3539.1
"г Уфа, ул. Блюхера, д.25",Другое строение,1,,0.01
"г Уфа, ул. Блюхера, д.25 корп.1",Многоквартирный дом,5,1986-01-01 00:00:00,4926.4
"г Уфа, ул. Блюхера, д.27",Многоквартирный дом,5,1973-01-01 00:00:00,2603.9
"г Уфа, ул. Блюхера, д.27 корп.1",Многоквартирный дом,5,1963-01-01 00:00:00,3376.6
